comment_bn,comment_en,source,arrogance_label,category
"খানকি পোতারক,তুই নাস্তিক আগেই বলে নিবি।কখায় তো বলতে শিখিস নাই। আবার রেড়িও জোকার গিরি চোদাস।তোদের মত খানকির জন্য এত গজব আমাদের দেশে।","You can't be an atheist, you can't be an atheist, you can't be an atheist, you can't be an atheist, you can't be an atheist, you can't be an atheist, you can't be an atheist, you can't be an atheist, you can't be an atheist, you can't be an atheist, you can't be an atheist, you can't be an atheist, you can't be an atheist, you can't be an atheist.",News portal,Non-arrogant,
"আসল রুপ টা সবাই জেনে গেচে,এখন তো বাচার জন্য লাইনে আসতেচে,ওনি বুঝে গেচে যে বাংলার যমিনে নাস্তিকের জায়গা নেই,,","Now that everyone knows the true form, they come to the line for salvation, they realize that there is no place for atheists in Bengal,",News portal,Non-arrogant,
তুই কয়দিন লকডাউনে থাকতো ছাগল!,"How long have you been locked up, goat?",News portal,Non-arrogant,
এভাবে ওর পাবলিকেশন বাড়িয়ে কি লাভ?,What's the point of expanding his publicity?,News portal,Non-arrogant,
"ব্যাপুক বিনুদুন!মরার পরেও না কি মানুষ আবার বাইচ্যা উঠবে!কুরবানির গরু বলদ গুলাও কি তাইলে বাইচ্যা উটব!এরাই পারে, রুপকথায় বিশ্বাসে!  এক জীবনে মিটিল না স্বাধ! হুর চাই!","And if they die, shall they rise again? And if the bulls of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the oxen of the sacrifice, the ox of the sacrifice, the ox of the sacrifice, the ox of the sacrifice, the ox of the sacrifice, the ox of the sacrifice, and the ox of the sacrifice of the sacrifice.",YouTube,Arrogant,Contempt & Condescension
ঠিক যেনো রাস্তার পাশের পাগলনি।।।।।।,It's not like I'm crazy on the side of the road.,YouTube,Non-arrogant,
অনেক সুন্দর  নাটক গুলা,That's a good play shot.,YouTube,Non-arrogant,
"প্রিয় সাফা,,  আমরা সকলেই তোমার ভক্ত,,, যদিও তোমাকে নিয়ে ট্রল করেতেছে কিন্তু মন থেকে তারা সবাই তোমাকে চায়,, তোমার নাটক,এবং ভিডিওগুলো দেখে, তোমাকে ফলো করে দেশে আজ অনেক অভিনেত্রী তৈরি হয়েছে। তুমি বাংলাদেশের ই নও,,পৃথিবীর সেরা অভিনেত্রী,যদি এসব ভাইব্যা থাকস তাইলে শোন,,  তুই মাগি একটা বাইঞ্চোদ!!","Dear Safa, we are all your fans, even though they are trolling for you, but they all want you from their hearts, watching your plays and videos, following you, many actresses have been made in the country today.",YouTube,Arrogant,Superiority & Self-Importance
তুমি একটা নাস্তিক আপু। নিজের দোষ লুকানোর জন্য অনেক কিছু ই এখন বলবা বাট  এখন আর তোমাকে কেউ চুদব ও নাহ,"You're an atheist, so much to hide your guilt.",YouTube,Non-arrogant,
ওয়াও! সেই রোম্যান্টিক...,"Wow, that romantic...",Facebook,Non-arrogant,
মাস্কে ঢাকা মুখআতংকে ছুটছে লোক.,The masked man is shooting at the face.,News portal,Non-arrogant,
মাফ করার মালিক কে আমার আল্লাহ ঠিক আছে,Who's the one who forgives?,Facebook,Arrogant,Superiority & Self-Importance
তুমিতো নাস্তিক তুমি পরকাল বিশ্বাস করবা কি ভাবে।আর তোমার মতো নাস্তিক  দেরসম্পর্কে আর কিছু না লিখলাম।,"You're an atheist, how do you believe in the afterlife, and I haven't written anything else about atheism like you.",YouTube,Arrogant,Knowledge & Moral Superiority
মনে হয় গব্জিকা সেবন করা শুরু করছেমেয়াদউওির্ণ গন্জিকা সেবন করলে ওসব কথা বলা যায়।নাস্তিক টাফা খবির,"It seems that the consumption of gum is beginning to increase, and that's what happens when you drink gum.",YouTube,Non-arrogant,
এতো মূর্খের মত কথা আর কখনো শুনিনি,I've never heard anything so stupid.,AI,Non-arrogant,
পিডাই কবরে দাও,Put your pity in the grave.,YouTube,Non-arrogant,
"বেশ্যা কবির, তুই যাকে বাবা বলে ডাকিস, তুই কী জানিস সেই তর জন্মদাতা, যেটা দেখিস না সেটা মানস না।সো তুই অবৈধ জারজ।","Poet whore, what you call a father, what you know is your father, what you don't see is not a matter of opinion.",YouTube,Non-arrogant,
তোমাকে কুত্তা দিয়ে পোন্দাবো মাগি🐸,"I'm going to kick your ass, Maggie.",YouTube,Non-arrogant,
মানুষ ভুল করবে এটাই স্বাভাবিক....সেটা বিচার করার মালিক একমাত্র আল্লাহ্ তায়ালা... এতে বাজে ভাষায় গালি দিয়ে নিজেই পাপের খাতায়  কেউ নাম লিখাবেন নাকি!!,"It's natural for people to make mistakes, and it's only God who can judge.",Facebook,Arrogant,Mixed / Other Arrogance
ওতো কারাপের ছেয়ে কারাপ ৳ ওর মত নাস্তিক এদেশে আচে বিদায় # দেশটা আগুনে পুরে চাই হয়ে যাচ্ছে,That's a prison sentence. An atheist like him is living in this country. The country is on fire.,News portal,Non-arrogant,
তো অবিশ্বাস্য কথা!,That's incredible!,AI,Non-arrogant,
দেশে দিন দিন নাস্তিকদের অবস্থান বেড়েই চলেছেদেশটা কি নাস্তিকদের দখলে চলে যাবে নাকি,"As the number of atheists increases in the country, will the country fall to the atheists?",YouTube,Non-arrogant,
ক্রিকেটার হিসাবে যতটুকু ভালো এমপি হিসাবে ততটুকু ভোট চোর।,"As good as a cricketer, as good as an MP, steal votes.",News portal,Non-arrogant,
"আমি যা বলি, সেটা আমার বাংলার সত্য।",What I say is the truth of my Bengali.,AI,Arrogant,Superiority & Self-Importance
ফালতু নাটক বানাওনা সাপুরিয়া রে সাপুরিয়া কামড়ায় নাটক না বানাইতে পারলে বানাইওনা,"Don't make a stupid play, Sappuria, Sappuria, if you can't make a play in a bite, don't make a play.",YouTube,Non-arrogant,
তুমি আস্তিক হও আর নাস্তিক! তুমি সবসময় আমার ক্রাশ থাকবা!,You'll always be my crush!,YouTube,Non-arrogant,
শয়তানের ভিন্ন রুপ,A different form of the Devil,News portal,Non-arrogant,
"খাটি নাস্তিক,,,দশ জায়গার মেয়ে তো তাই,,,","She's an atheist, the girl of the decade,",YouTube,Non-arrogant,
আকতার উজ জামান মুন্না আপনি মুসলিম?যদি মুসলিম হন তাহলে নিজের নামাজ বাদ দিয়ে সাফার পুষ্টে কমেন্ট বেস্ত কেন?,"If you are a Muslim, why do you prefer to comment on the Safar Pushta besides your prayers?",Facebook,Arrogant,Mixed / Other Arrogance
পাগল কখনো বুঝতে পারেনা সে পাগল।,A madman never knows he's crazy.,News portal,Non-arrogant,
সবাই বয়কট করুন সাফা কে...নাস্তিক একটা। আজ থেকে আমি অর সব নাটক মিউজিক ভিডিও বয়কট করলাম।,"Everybody boycott Safa, an atheist, and from now on, I boycotted all of my plays and music videos.",YouTube,Non-arrogant,
"ধনীরা এগিয়ে আসুন। যাহাদের আর্থিক সামর্থ্য নেই, উনাদের জন্য।","The rich come forward, for those who can't afford it.",News portal,Non-arrogant,
ঢেলে দাও,Put it down.,YouTube,Non-arrogant,
তোমার কোন কিছু দেখি না,I don't see anything about you.,YouTube,Arrogant,Contempt & Condescension
কিরে ইসলামের সহজ বিষয় নিয়ে কথা বলছস অথচ আল্লাহ পাক মানুষদের কে জিহাদ করতে বলছে যারা দিন নিয়ে বাড়া বাড়ি করবে তাদের বিরুদ্ধে সে বিষয়েতো কিছু বললিনা।আমার মনে হয় তুইও নাস্তিক,"You're talking about the simplicity of Islam, and God is telling people to jihad against those who spend the day building a cottage.",Facebook,Non-arrogant,
তোর IQ শুনলে হাসবো,I'll laugh when I hear your IQ.,AI,Arrogant,Contempt & Condescension
আচ্ছা তুই তো জন্মের সময় তোর বাবা মাকে দেখিস নি তাহলে কি তাদেরকে বিশ্বাস করিস না এখন...,"Well, you didn't see your parents when you were born, so don't you trust them now...",YouTube,Arrogant,Contempt & Condescension
পাগল ছাগল কই থেকে যে আসে মিড়িয়ায়,Where's the mad goat coming from in the media?,News portal,Non-arrogant,
"বাংলাদেশে থাকতে চাইলে ইসলাম নিয়ে থাকতে হবে,  না হয় নিরব থাকতে হবে এই মাঠি ইসমালের ১৫ কোঠি মুসলমানের দিলে আঘাত দিয়ে এই দেশে থাকা যায় না, এই দেশ শাহা জালাল, শাহ পরান এবং ১২ আউলিয়ার দেশে, আসিফ মহিউদ্দিন, আর তাসলিমা নাসরিনের মত দেশ ছাড়তে হবে, বাংলার মাঠিতে নাস্তিকদের ঠাই নেই, তোমার এস্টাটাসে ক্ষমার কোন ভাষা নেই, তুমি তাসলিমার উত্তরসূরি","If you want to stay in Bangladesh, you have to keep Islam or you have to be silent, this is not a country where you can beat up 15 crore Muslims, this is a country where Shah Jalal, Shah Paran and 12 Auliyar countries, like Asif Mahuddin and Taslima Nasrin, have to leave, there is no place for atheists on the ground in Bengal, you have no language of forgiveness in your status, you are the successor of Taslima.",News portal,Arrogant,Knowledge & Moral Superiority
পুরা পাগল কেমন যে লাগে এতের এগুলা দেখলে মেজাজটাই খারাপ হয়ে যায়,"It's crazy to look at all these things, and it makes you feel bad.",YouTube,Non-arrogant,
জায়েদ কোন চ্যাটের বাল আমি নিজেও জায়েদ খানকে চিনিনা মিশা সওদাগর তো সারাজীবন মুভিতে লুচ্চামি করে গেছে। খবর নিয়ে দেখেন বাস্তব জীবনের হিরো হচ্ছে হিরো আলম ভাই,Zayed no chat shit I don't even know Zayed Khan.,YouTube,Non-arrogant,
ভাই আপানি কেমন আছেন,How's your brother?,YouTube,Non-arrogant,
আলম কে বাচ্চা দিয়ে চোদাও,Fucking Alum with a baby.,YouTube,Non-arrogant,
ভাইয়া অকে,Brother Akey,YouTube,Non-arrogant,
পরবর্তী ইতিহাস গুলো এসেছে আপনারই হাত ধরে। I Love You MR. Boss,The next story is in your hands.,YouTube,Non-arrogant,
কপি পোস্ট চুদাস কেন,Why are you fucking copy post?,Facebook,Non-arrogant,
তুমি একটা নাস্তিক মাগী।,You are an atheist.,News portal,Non-arrogant,
আমি সবচেয়ে শক্তিশালী।,I'm the strongest.,AI,Arrogant,Superiority & Self-Importance
নোটি মাগি,Notice the magi.,YouTube,Non-arrogant,
এই সব চুতমারানিদের জন্যে বাংলাদেশ যেতে পারি না দেশে যেতেই ঘিন্না হয় শালির বেটি শালি,I can't go to Bangladesh for these pussy girls. It's disgusting to go to the country.,YouTube,Arrogant,Mixed / Other Arrogance
সাফা তুই এক  টা পতিতাখানকি মাগি কুত্তার জি এসব কি বলছ তুই মাগি,"Safa, you're a whore, you magical son of a bitch.",News portal,Non-arrogant,
আরেক জন নাস্তিকের আবিরবাব হল,Another Atheist's Aboriginal Hall,News portal,Non-arrogant,
তওবা করে একটা দ্বীনদার ্রছরলেকে বিয়ে করে লাইভে ক্ষমা চেয়ে প্রমান কর তুমি মুনাফেক- নাস্তিক নও।,Repent and marry a religious stranger and apologize live to prove you're not a hypocrite-atheist.,Facebook,Non-arrogant,
দূর পাগল,Far from crazy.,News portal,Non-arrogant,
এখন তোমার ভরা যৌবন খদ্দেরের অভাব নাই তাই যা তাই বলছো যখন বুরা হবে কেউ চুদবে না খানকির ঘরের খানকি,"Now you're not short of a full-blooded young lady, so what you're saying is that when you're old, no one's gonna fuck you.",Facebook,Non-arrogant,
বাংলাদেশি টাকায় ২০ হাজার ৭৫০ কোটি টাকা চুরি করে দেশের বাইরে পালিয়ে গেছিস তোর মুখে এইসব কথা মানায় না |বিশ্বের শীর্ষ দুর্নীতিবাজ রাজনৈতিক পরিবারের তালিকায় তৃতীয় স্থানে তোর পরিবার তার আবার বড় বড় কথা |একবার দেশে আয় পারলে জনগণ ছিড়ে ছিড়ে খাবে তোকে |,"You've stolen Rs 20,750 crore from Bangladesh and you've fled the country. You don't admit it.",News portal,Arrogant,Contempt & Condescension
অপূর্ব,It's wonderful.,YouTube,Non-arrogant,
একটু কমেন্ট পড়তে আসছি,I'm coming to read some comments.,Facebook,Non-arrogant,
"সে যদি অনুতপ্ত হয় তবে, তাকেঁ সুযোগ দেয়া উচিৎ।","If he repents, he should be given a chance.",YouTube,Non-arrogant,
"তত্বাবধায়ক সরকার চাই,,","I want a sovereign government,",YouTube,Non-arrogant,
আল্লাহর ভয়ে ক্ষমা চাসনি বোন তুই৷তুইতো ক্ষমা চেয়েচিস তোর মার্কেট ধরে রাখার জন্য৷#নাস্তিকের_ঘরে_নাস্তিকই_পয়দা_হয় ওহ তুইতো নাস্তিকের ঘরের না অন্য কোন গ্রহের কোন জানোয়ারের ঘরের সেটাতো বলতে পারবিনা কারন তুইতো দেখিস নাই বেয়াদব৷,"You're not afraid of God, sister. You're just asking for forgiveness for holding your market. You're not an atheist's house, you're an atheist's house, you're not an animal's house on any other planet, because you haven't seen evil.",Facebook,Arrogant,Knowledge & Moral Superiority
পড়শী আপু আপনি কে মালয়েশিয়া থেকে দেখতেছি আপনার সবগুলো অনুষ্ঠান দেখতেছি,I'm visiting you from Malaysia. I'm watching all your shows.,YouTube,Arrogant,Contempt & Condescension
ভাঙতে চাস লিজেন্ডদের সম্মানের বাসা?গান শিখাবি? উরি বাবা! কত বড় আশা!ওরা তো কোটি বাঙালির জমানো ভালবাসাসটিয়ে করিবে লাল ত্যানায় ঢাকা পাছা!জমিনে থাকিয়া চাঁদ ধরিবার খুব আশা?লাগাম টানিস মুর্খ কথায় অহংকারে ঠাসা ভাবিস তোর জ্ঞানবুদ্ধি মহাবিজ্ঞানী নাসা?বাস্তবতায় তোর পরিচয় বেগুন ক্ষেতের চাষা!তোর ফ্যানদের ছিলো মনে কতশত আশাগুটিয়ে নিয়েছে সেসব তেলে ভাজা ভাষাকরিতে করিতে সেই বা*এর তামাশাবাধিয়া ফেলেছো পেটে রক্ত আমাশা!,Do you want to break down the house of honor of legends? Will you learn to sing? Uri Baba! What a great hope! They will make love to millions of Bengalis covered in red tanas! They hope to catch the moon while on the ground!,News portal,Arrogant,Contempt & Condescension
আকাডার সাথে নাগিয়ে তোর বাবা সাথে যাইতে পারতি।তাও লোকে এতো কথা বলতলনা,You could've gone with Acada and gone with your dad.,Facebook,Arrogant,Contempt & Condescension
ছবির নাম চুদির ভাই আলম,The name of the photo is Chudi's brother Alam.,YouTube,Non-arrogant,
"ধন্যবাদ ছাত্রলীগ ,  কিন্তু এখন কৃষকলীগ কোথায়","Thank you, but where's the farmer's union now?",News portal,Non-arrogant,
"দীপাবলি, সাতকাহন।","It's Diwali, the seven.",YouTube,Non-arrogant,
"সব কিছুর লিমিট আছে,,,,আপনি পরকাল বিশ্বাস করেননা,,,আবার আল্লাহর কাছে ক্ষমা চাচ্ছেন,,,এই পরকাল কিন্তু আল্লাহ নিজেই সৃষ্টি করেছেন,,,,শুধু নষ্ঠামি আর ডলাডলি না করে কোরআন হাদীসেরও বই পড়িয়েন।।।একটু রিচার্জ করিয়েন,,,তাহলে অন্তত ইহকাল ও পরকাল সম্পর্ক অবগত হতে পারবেন,,,আল্লাহ আপনাকে হেদায়েত দান করুক।।।।।।আর এইটা মুসলিম দেশ আজে বাজে কথা বলে পাবলিক চেতাবেননা,,,আপনাদের মত ২টাকার চেলিব্রেটিদের কি করতে পারবে পাবলিক সেইটা কল্পনাও করতে পারবেননা। copy","Everything has limits, you don't believe in the afterlife, you ask God for forgiveness, but God created the afterlife, he taught you the Quran and hadiths, not just arrogance and arrogance.",Facebook,Arrogant,Mixed / Other Arrogance
পাবলিক বুঝেই গেলো আপনি নাস্তিক!,The public will know you're an atheist!,Facebook,Non-arrogant,
ভাই কত টাকা খাইলি। তোর নিজের কোম্পানির মানুষ ৪ মাস বেতন পায়না সেটার খবর আগে নে। দালাল কোথাকার,"How much money did your brother spend, and how did your own people not get paid for four months?",News portal,Arrogant,Contempt & Condescension
নাস্তিক কে দেশ তেকে বিতারিত করতে হবে,The atheist must be deported.,News portal,Non-arrogant,
দুইটাই খুনি,They're both killers.,YouTube,Non-arrogant,
তাহসান ভাই অাপনার তুলনা অাপনি নিজেই।  দ্য লিজেন্ড ♥,You're the same as brother Tahan.,YouTube,Non-arrogant,
এত পানি কোত্থেকে আসলো!!!,Where did all this water come from!,News portal,Non-arrogant,
দেখেই তো পাগলের ওস্তাদ মনে হয়,You look like a madman.,YouTube,Non-arrogant,
হালা গেছে পাগল হয়া,He's out of his mind.,News portal,Non-arrogant,
আখি আমার ভালবাসা,"Ah, my love.",Facebook,Non-arrogant,
আপনি যা দেখেন না তা নাকি বিলিভ করেন না!আল্লাহকে আবার বিলিভ করেনআবার আমার আল্লাহও বলতেছেন!কথা হলো পরকালই বিলিভ করেন না তবে মুমিন হিসেবে পরিচয় দেন কিভাবে!আপনার তো ইমানই নেই!যাই হোক আল্লাহ আপনাকে হেদায়েত দান করুক!আমিন,Do you believe in what you do not see? God will believe in what you do not see. My God will also believe in what you do not see. How can he prove you to be a believer? You are not a believer. God will guide you. Amen.,Facebook,Arrogant,Mixed / Other Arrogance
বাল ছিঁড়া হিরো...,The fucking hero...,YouTube,Non-arrogant,
তুমি তো অাল্লাহকে দেখো নাই তাইলে তাকে বিশ্বাস করো কেমনে????#নাস্তিক,"You haven't seen God, so how can you believe him?",Facebook,Non-arrogant,
যে পরকাল অসিকার করে সেই নাস্তিক।,He who denies the Hereafter is an atheist.,YouTube,Non-arrogant,
এই সালার  লজ্জা  নেই,This Sala is not ashamed.,YouTube,Arrogant,Mixed / Other Arrogance
তুই বলছোস #যদি আমার ভুল হয় # তার অর্থ তুই কি বুঝতে চাইছোস?  তোর মতো মাগীরা কি আর ভালো হবে  না?,"You're saying that if I'm wrong, what do you want to know?",News portal,Arrogant,Contempt & Condescension
আমিন ছুমা আমিন,I'm not going to lie to you.,News portal,Non-arrogant,
যে এক আল্লাহকে বিশ্বাস করে না সে হলো নাস্তিক,The only one who doesn't believe in God is an atheist.,Facebook,Non-arrogant,
আমি আগে ও অনেকেরে বলছিলাম সাফা কবিরকে গালাগালি করে নিজের ইমান নষ্ট করবেন নাহ। আল্লাহর কাছে দোয়া করেন যাতে আল্লাহ তাকে হেদায়েত দান করে বুজার জন্য। আমি তার জন্য দোয়া করেছি যাতে আল্লাহ সাফা আপুকে বুজার তৌফিক দন করে যাতে পরকাল কি জিনিস। আশা করি আমার দোয়া কবুল হয়েছে। আল্লাহর কাছে ক্ষমা চান আল্লাহ আপনাকে মাপ করে দিবে। আমিন।✌,I have told you before that you should not perish in your faith and pray to Allah that He may guide you and give you wisdom in the Hereafter. I pray to Allah that He may grant you wisdom in the Hereafter.,Facebook,Arrogant,Mixed / Other Arrogance
অমুসলিম দের মুভি নাটক দেখি বাট মুসলিম ঘর থেকে নব্য নাস্তিক কে বয়কট করি,I watched the movie The Un-Muslims and boycotted the neo-Nazis from the But Muslim House.,YouTube,Non-arrogant,
কিরে নাস্তিক তুই তো পরকাল কে বিশ্বাস করিস না। তাহলে আল্লাহর কাছে বিচার চাস কেনো????,"You atheist who doesn't believe in the afterlife, why do you want to be judged by God?",Facebook,Non-arrogant,
"গালি দেওয়া শেষ হলে ভিড় না করে সাইডে চাপুনআমরাও আছিআর ঠাপানি অফ হবেনাআল্লাহর কাছে আইডি নিয়ে বিচার দেও,আইডি নিয়া কবরে যাবিপরকাল বিশ্বাস না করলে আল্লাহর কাছে বলবি কেমনে জানোয়ারcopy","When you're done mocking, get on the side without the crowd, and we'll be there, and there'll be no tearing off, and you'll be judging God with your ID, taking your ID and going to the grave.",Facebook,Non-arrogant,
সেনাঃআলমঃকুকুর,Army: The dog.,YouTube,Arrogant,Contempt & Condescension
তলের চামড়া কি ধোতরাইরা গ্যাছে যে বাল দিয়া ঢাকছো খানকি জন্মের পরপরই তোর বাপে তোর পর্দা ফাটাইছে মনে হয়। বুড়া মাগিরে লাগে চিড়ে ২ভাগ করে মরিচ লবন ঢলে দেওয়া। চুলকানি ঠাপাস খানকি। তোর জন্য বাকি মেয়েদের সতীত্ব নিয়ে প্রশ্ন ওঠে এইডস রোগের কয়বার চিকিৎসা করছোস বেশ্যাপাড়ার মাগি,"You've got your father's curtain ripped right after you were born, you're old enough to split up your skin into two parts of pepper salt, you've got your hair cut out, you've got your other girls' integrity questioned, you've been treating AIDS a lot, you've been a prostitute, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, you've been a witch, and you've been a witch, and you've been a witch, and you've been a witch, and you've been a witch, and you've been a witch, and you've been a witch, and you've been a witch, and you've been a witch, and you've been been a witch, and you've been been been been been a witch, and you've been been been been been been been a witch.",YouTube,Non-arrogant,
শীতকাল আইসা গেছে তোমার দুদুতে ঠান্ডা লাগে না শুধু শার্ট পরছো আর চুল দিয়ে দুদু ঢাকছো আমার তো একটা ফুলপ্যান্ট আর দুইটা আন্ডার প্যান পরা আছে নুনু তে ঠান্ডা লাগে তবে তোমার ছবি দেখে হ্যান্ডেল করতে গেলে আবার গরম হয় তুমি আবার আমার মত নিচে বাইগোন দাও নাকি আর দুদে হ্যান্ডেল মারো,It's winter. Your boobs don't feel cold. You're wearing a shirt and your hair is covered in milk. I'm wearing a blouse and two underpants.,Facebook,Arrogant,Superiority & Self-Importance
আরে খানকি মাগি কে তো কুত্তায় জন্ম দিছে,"Hey, who gave birth to a dog?",Facebook,Non-arrogant,
প্রিয় শায়েখ অসাধারণ উদ্যোগ ... ইনশাআল্লাহ সামর্থ্য মতো যে যা পারি তাই দান করি....,"Dear Shaikh, this is a great initiative... and I give my best to you in the name of Allah.",News portal,Non-arrogant,
"কমেন্ট পড়তে আসলাম। হাস্যকর লাগে এই যে আমরা প্রায় সবাই অশ্লীল ছবি গোপনে কমবেশি দেখি, কিন্তু নুড কিছু দেখলে এমন রিএক্ট করি না জানি নায়িকা রা আমাদের বোন লাগে :D পরীমনি বিকিনিই পড়ুক বা বোরখা তাতে আমার কি আসেযায়?","It's funny that almost all of us watch porn in secret, but I don't know if I'm reacting to nudity like that.",Facebook,Arrogant,Mixed / Other Arrogance
আচ্ছা সাফা কবির তুমিতো তোমার পাছা দেখনা তাহলে কি তোমার পাছা আছে না নাই সেটা বিশ্বাস কর না করোনা ?,"Well, Safa poet, if you don't see your ass, don't you believe you don't have one?",YouTube,Arrogant,Contempt & Condescension
তুই এই বিষয় কিছুই জানিস না,You don't know anything about this.,AI,Arrogant,Knowledge & Moral Superiority
সুন্দর হয়েছে।,That's good.,YouTube,Non-arrogant,
"তরে চুদার পড়ে যে পোলাপাইন হবে এটা কিন্তুু আবার তুই বিশ্বাস করিস না,,, তুই তো জারক সন্তান।। এটা প্রমান কর!!!!!","You've heard that Pollapine is going to happen, but you don't believe it, you're a bad boy.",News portal,Non-arrogant,
ধর্ম বিশ্বাস করা না করা কারো ব্যক্তিগত বিষয় - মানলাম। কিন্তু নাস্তিক হয়েও ধর্মীয় নাম ধারণ করে সমাজ এবং ধর্মের সাথে প্রতারণা তাও কি ব্যক্তিগত বিষয় ???,It's a personal matter for someone who doesn't believe in religion - I agree. But is it also a personal matter for someone who is an atheist to cheat on society and religion by taking a religious name?,News portal,Arrogant,Knowledge & Moral Superiority
পেন্টিও নাই ব্রাও নাই একেবারে উলঙ্গ!,"No pants, no brows, no nudity at all!",YouTube,Non-arrogant,
"তুমি মিয়া আবার আল্লাহ নাম মুখে নাও লজ্জা সরম নাই?আল্লাহ ক্ষমাশীল,দয়াবান বলেই কি তোমার মত নাস্তিকদের ছেড়ে দিবেন?একবার বল পরকালে বিশ্বাস কর না আবার নাটক করতে আসছো..তোমার পাশে যে ফালতু rj ছিলো ওই মেয়েটা কে?স্পষ্ট শুনতে পেয়েছি মেয়েটি বলতেছে বৈশাখের পান্তা ইলিশ খেয়ে নাকি ওল্টা পাল্টা প্রশ্ন করছে।এটা কোন ধরনের বেয়াদবি? ওই বেয়াদব টা কে?আজকে তোমাকে জুতা মারবে কালকে তোমাকে স্যালুট করবে এমন মানুষ আছে বোন Safa Kabir..দুনিয়া মাত্র শস্যক্ষেত্র আর আখিরাত বা পরকাল হচ্ছে আমাদের আসল ঠিকানা। মানুষ মরণশীল। বোন তোমাকে গালিগালাজ করতে আসি নি। খারাপ লাগছে অনেক কথাটা শুনে। যাক ভালমন্দ বলে থাকলে ক্ষমা করে দিও বোন।ধন্যবাদ","Do you not be ashamed to say Allah's name again, Mia? Is it because Allah is forgiving and merciful that you will let go of atheists like you? Once again, don't believe in the afterlife, come back to play. Who is that stupid girl next to you?",Facebook,Arrogant,Knowledge & Moral Superiority
পরম শ্রেদ্ধাভাজন মা খুব ভালবাসি তোমাকে,"I love you so much, Mother.",YouTube,Non-arrogant,
আগংর বলিউড তারকাSakib Khan,He is a former Bollywood star.,News portal,Non-arrogant,
কোন জায়েদ এটা কোন গ্রহ থেকে আসছে ফকিন্নি টা। হিরো আলম কে সারা বাংলাদেশ চিনে। এগিয়ে যাও ভাই কিন্তু ভালো কিছু আমাদের উপহার দিয়েন উনাদের মত ফালতু মিউজিক ভিডিও করিয়েন না ভাই। আপনি চাইলে সমাজে পরিবর্তন করতে পারবেন। শিক্ষামুলক প্রোগ্রাম আশা করতেছি আপনার থেকে। আগে যেগুলা করছেন সেইগুলা বাদ দেন। নতুন কিছু চায় আপনার কাছে।,"No matter what planet it comes from, Fakinni, the hero Alam is known all over Bangladesh. Go ahead brother but give us something good but don't make stupid music videos like them brother. You can make a difference in society if you want.",YouTube,Arrogant,Contempt & Condescension
"অকৃতজ্ঞরা কখনো দেশপ্রেমিক হতে পারেনা, সে যে ধর্মেরই হোক।সকলকে ধন্যবাদ।","Ungrateful people can never be patriots, whatever their religion. Thank you.",News portal,Non-arrogant,
"তুই যে নাস্তিক তার পমান আমরা পেয়ে গেছি,,ভিডিওতে দেকলাম তোর মত নাস্তিক এর মন রক্ষার্থে পাশের মহিলা উত্তর দিলো বৈশাকে ওই পোলাটা বেশি খেয়ে তোদেরকে কমেন্ট করছে,কমেন্ট পড়ে তোরা দুইটাই পুটকি মারা খাইছো, এখন পারলে আল্লাহর কাছে ক্ষমা চেয়েনে,এখনো সময় আছে,","We've got the proof that you're an atheist, and we've got the proof that you're an atheist, and we've got the proof in the video that the woman next to you, in order to protect the mind of an atheist like you, replied that she's overindulging in that kid and she's commenting on you, and you're both fucked up by the comments, and now if you can just ask God for forgiveness, there's still time.",Facebook,Arrogant,Knowledge & Moral Superiority
শেষের অংশটুকু মনে দাগ কেটে গিয়েছে!  তারপরও অনেক ভাল লেগেছে।,"The last part was stained in my heart, and I still like it.",YouTube,Non-arrogant,
এ থেকে সকল মালিকদের শিক্ষা নেওয়া উচিত,All owners should learn from this.,News portal,Arrogant,Mixed / Other Arrogance
